Item No.,Voltage (V),Prop,Throttle,Current (A),Power (W),Thrust (G),RPM,Efficiency (G/W),Operating Temperature (C)
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,30%,0.82,13.0,171.0,4055.0,13.06,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,35%,1.2,19.0,227.0,4653.0,11.85,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,40%,1.66,26.0,287.0,5212.0,10.83,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,45%,2.25,36.0,357.0,5801.0,9.94,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,50%,2.92,47.0,427.0,6329.0,9.17,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,55%,3.67,58.0,497.0,6828.0,8.51,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,60%,4.54,72.0,573.0,7314.0,7.94,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,65%,5.51,88.0,641.0,7754.0,7.31,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,70%,6.49,103.0,724.0,8202.0,7.04,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,75%,7.59,120.0,803.0,8631.0,6.68,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,80%,8.84,140.0,883.0,9046.0,6.32,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,85%,10.16,160.0,963.0,9441.0,6.02,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,90%,11.58,182.0,1043.0,9824.0,5.73,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,95%,13.13,206.0,1123.0,10191.0,5.45,47.0
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",16.0,MF9545,100%,14.73,230.0,1202.0,10539.0,5.22,47.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,40%,15.22,821.0,8690.0,1622.0,10.58,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,42%,17.58,949.0,9622.0,1702.0,10.14,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,44%,20.1,1085.0,10549.0,1781.0,9.72,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,46%,22.73,1227.0,11494.0,1856.0,9.37,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,48%,25.82,1393.0,12540.0,1938.0,9.0,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,50%,29.03,1566.0,13591.0,2014.0,8.68,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,52%,32.59,1759.0,14648.0,2089.0,8.33,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,54%,36.39,1963.0,15704.0,2162.0,8.0,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,56%,40.02,2159.0,16694.0,2230.0,7.73,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,58%,43.92,2370.0,17880.0,2304.0,7.55,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,60%,48.43,2613.0,18989.0,2377.0,7.27,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,62%,53.27,2874.0,20194.0,2446.0,7.03,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,64%,58.09,3133.0,21371.0,2514.0,6.82,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,66%,62.88,3392.0,22443.0,2578.0,6.62,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,68%,68.63,3703.0,23766.0,2645.0,6.42,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,70%,74.23,4006.0,24961.0,2708.0,6.23,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,80%,105.19,5679.0,30891.0,2995.0,5.44,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,90%,134.79,7277.0,35619.0,3195.0,4.9,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,100%,163.8,8841.0,39239.0,3341.0,4.44,110.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,40%,19.36,889.0,9124.0,1662.0,10.27,122.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,42%,22.22,1020.0,10068.0,1743.0,9.87,122.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,44%,25.42,1167.0,11046.0,1824.0,9.47,122.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,46%,28.71,1318.0,12019.0,1901.0,9.12,122.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,48%,32.61,1498.0,13094.0,1983.0,8.74,122.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,50%,36.67,1685.0,14171.0,2060.0,8.41,122.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,52%,41.01,1882.0,15238.0,2137.0,8.1,122.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,54%,45.54,2093.0,16344.0,2211.0,7.81,122.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,56%,50.46,2317.0,17442.0,2281.0,7.53,122.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,58%,55.81,2563.0,18690.0,2356.0,7.29,122.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,60%,61.39,2819.0,19842.0,2427.0,7.04,122.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,62%,67.19,3088.0,21042.0,2496.0,6.81,122.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,64%,73.44,3373.0,22213.0,2563.0,6.59,122.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,66%,79.47,3652.0,23324.0,2625.0,6.39,122.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,68%,86.32,3961.0,24521.0,2690.0,6.19,122.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,70%,93.13,4274.0,25700.0,2752.0,6.01,122.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,80%,130.13,5972.0,31182.0,3025.0,5.22,122.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,90%,162.92,7478.0,35169.0,3200.0,4.7,122.0
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,51.8,VZ40 x16.1,100%,192.47,8840.0,38091.0,3307.0,4.31,122.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 26*8.5"" CF",40%,4.25,206.0,2357.0,1978.0,11.45,85.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 26*8.5"" CF",42%,4.91,238.0,2613.0,2095.0,10.97,85.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 26*8.5"" CF",44%,5.62,272.0,2882.0,2214.0,10.58,85.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 26*8.5"" CF",46%,6.33,307.0,3127.0,2312.0,10.19,85.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 26*8.5"" CF",48%,6.99,338.0,3359.0,2401.0,9.92,85.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 26*8.5"" CF",50%,7.71,374.0,3595.0,2513.0,9.61,85.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 26*8.5"" CF",52%,8.47,411.0,3833.0,2608.0,9.33,85.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 26*8.5"" CF",54%,9.41,456.0,4134.0,2715.0,9.06,85.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 26*8.5"" CF",56%,10.35,502.0,4422.0,2818.0,8.81,85.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 26*8.5"" CF",58%,11.26,546.0,4679.0,2914.0,8.56,85.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 26*8.5"" CF",60%,12.39,601.0,4931.0,3023.0,8.21,85.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 26*8.5"" CF",62%,13.69,664.0,5361.0,3123.0,8.07,85.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 26*8.5"" CF",64%,14.97,727.0,5683.0,3245.0,7.82,85.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 26*8.5"" CF",66%,16.23,787.0,6077.0,3344.0,7.71,85.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 26*8.5"" CF",68%,17.61,855.0,6340.0,3440.0,7.42,85.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 26*8.5"" CF",70%,18.88,916.0,6692.0,3539.0,7.3,85.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 26*8.5"" CF",75%,22.66,1100.0,7503.0,3768.0,6.82,85.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 26*8.5"" CF",80%,26.98,1310.0,8475.0,3988.0,6.47,85.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 26*8.5"" CF",90%,36.82,1788.0,10172.0,4425.0,5.68,85.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 26*8.5"" CF",100%,48.83,2370.0,12114.0,4818.0,5.11,85.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 27*8.8"" CF",40%,4.63,224.0,2561.0,1963.0,11.41,120.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 27*8.8"" CF",42%,5.3,257.0,2805.0,2078.0,10.92,120.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 27*8.8"" CF",44%,6.08,295.0,3085.0,2190.0,10.46,120.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 27*8.8"" CF",46%,6.85,332.0,3336.0,2310.0,10.04,120.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 27*8.8"" CF",48%,7.53,365.0,3556.0,2405.0,9.73,120.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 27*8.8"" CF",50%,8.33,404.0,3826.0,2498.0,9.46,120.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 27*8.8"" CF",52%,9.14,443.0,4080.0,2588.0,9.21,120.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 27*8.8"" CF",54%,10.2,495.0,4381.0,2696.0,8.85,120.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 27*8.8"" CF",56%,11.19,543.0,4655.0,2793.0,8.58,120.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 27*8.8"" CF",58%,12.18,591.0,4945.0,2883.0,8.37,120.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 27*8.8"" CF",60%,13.27,643.0,5240.0,2974.0,8.14,120.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 27*8.8"" CF",62%,14.64,710.0,5680.0,3099.0,8.01,120.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 27*8.8"" CF",64%,15.85,769.0,6093.0,3210.0,7.92,120.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 27*8.8"" CF",66%,17.03,826.0,6410.0,3306.0,7.76,120.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 27*8.8"" CF",68%,18.91,917.0,6935.0,3401.0,7.56,120.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 27*8.8"" CF",70%,20.58,999.0,7287.0,3493.0,7.3,120.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 27*8.8"" CF",75%,23.98,1164.0,8092.0,3723.0,6.95,120.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 27*8.8"" CF",80%,28.57,1387.0,8948.0,3927.0,6.45,120.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 27*8.8"" CF",90%,39.23,1904.0,10816.0,4353.0,5.68,120.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 27*8.8"" CF",100%,52.07,2529.0,12617.0,4723.0,4.99,120.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 28*9.2"" CF",40%,5.19,252.0,2950.0,1934.0,11.72,118.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 28*9.2"" CF",42%,5.87,284.0,3217.0,2039.0,11.31,118.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 28*9.2"" CF",44%,6.34,307.0,3400.0,2099.0,11.05,118.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 28*9.2"" CF",46%,7.66,372.0,3875.0,2267.0,10.42,118.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 28*9.2"" CF",48%,8.49,411.0,4158.0,2357.0,10.1,118.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 28*9.2"" CF",50%,9.39,456.0,4463.0,2451.0,9.79,118.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 28*9.2"" CF",52%,10.27,498.0,4759.0,2532.0,9.55,118.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 28*9.2"" CF",54%,11.33,550.0,5071.0,2622.0,9.22,118.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 28*9.2"" CF",56%,12.6,612.0,5477.0,2723.0,8.95,118.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 28*9.2"" CF",58%,13.85,673.0,5835.0,2821.0,8.67,118.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 28*9.2"" CF",60%,15.18,737.0,6195.0,2910.0,8.4,118.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 28*9.2"" CF",62%,16.61,807.0,6614.0,3026.0,8.19,118.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 28*9.2"" CF",64%,17.97,872.0,6921.0,3119.0,7.93,118.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 28*9.2"" CF",66%,19.8,962.0,7317.0,3220.0,7.6,118.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 28*9.2"" CF",68%,21.5,1044.0,7799.0,3317.0,7.46,118.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 28*9.2"" CF",70%,23.25,1130.0,8137.0,3400.0,7.2,118.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 28*9.2"" CF",75%,27.63,1342.0,9124.0,3624.0,6.79,118.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 28*9.2"" CF",80%,32.46,1577.0,10137.0,3819.0,6.42,118.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 28*9.2"" CF",90%,43.47,2113.0,12007.0,4210.0,5.68,118.0
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,48.0,"T-MOTOR 28*9.2"" CF",100%,57.27,2783.0,14159.0,4583.0,5.08,118.0
MN1123 80kg MTOW Industrial Heavy Duty Waterproof Motor,92.0,VZ42 x16.5,40%,10.76,989.0,9748.0,1745.0,9.85,89.0
MN1123 80kg MTOW Industrial Heavy Duty Waterproof Motor,92.0,VZ42 x16.5,42%,12.25,1127.0,10640.0,1824.0,9.44,89.0
MN1123 80kg MTOW Industrial Heavy Duty Waterproof Motor,92.0,VZ42 x16.5,44%,13.76,1265.0,11660.0,1901.0,9.22,89.0
MN1123 80kg MTOW Industrial Heavy Duty Waterproof Motor,92.0,VZ42 x16.5,46%,15.4,1416.0,12636.0,1975.0,8.92,89.0
MN1123 80kg MTOW Industrial Heavy Duty Waterproof Motor,92.0,VZ42 x16.5,48%,17.29,1591.0,13750.0,2052.0,8.64,89.0
MN1123 80kg MTOW Industrial Heavy Duty Waterproof Motor,92.0,VZ42 x16.5,50%,19.42,1786.0,14919.0,2129.0,8.35,89.0
MN1123 80kg MTOW Industrial Heavy Duty Waterproof Motor,92.0,VZ42 x16.5,52%,21.68,1995.0,16171.0,2205.0,8.11,89.0
MN1123 80kg MTOW Industrial Heavy Duty Waterproof Motor,92.0,VZ42 x16.5,54%,23.99,2207.0,17354.0,2254.0,7.86,89.0
MN1123 80kg MTOW Industrial Heavy Duty Waterproof Motor,92.0,VZ42 x16.5,56%,26.28,2418.0,18573.0,2353.0,7.68,89.0
MN1123 80kg MTOW Industrial Heavy Duty Waterproof Motor,92.0,VZ42 x16.5,58%,28.96,2664.0,19906.0,2427.0,7.47,89.0
MN1123 80kg MTOW Industrial Heavy Duty Waterproof Motor,92.0,VZ42 x16.5,60%,31.82,2928.0,21215.0,2501.0,7.25,89.0
MN1123 80kg MTOW Industrial Heavy Duty Waterproof Motor,92.0,VZ42 x16.5,62%,34.93,3214.0,22634.0,2575.0,7.04,89.0
MN1123 80kg MTOW Industrial Heavy Duty Waterproof Motor,92.0,VZ42 x16.5,64%,38.09,3503.0,24040.0,2648.0,6.86,89.0
MN1123 80kg MTOW Industrial Heavy Duty Waterproof Motor,92.0,VZ42 x16.5,66%,41.24,3796.0,25388.0,2716.0,6.69,89.0
MN1123 80kg MTOW Industrial Heavy Duty Waterproof Motor,92.0,VZ42 x16.5,68%,44.69,4111.0,26877.0,2787.0,6.54,89.0
MN1123 80kg MTOW Industrial Heavy Duty Waterproof Motor,92.0,VZ42 x16.5,70%,48.36,4449.0,28307.0,2857.0,6.36,89.0
MN1123 80kg MTOW Industrial Heavy Duty Waterproof Motor,92.0,VZ42 x16.5,80%,69.16,6362.0,35956.0,3184.0,5.65,89.0
MN1123 80kg MTOW Industrial Heavy Duty Waterproof Motor,92.0,VZ42 x16.5,90%,87.91,8089.0,41739.0,3414.0,5.16,89.0
MN1123 80kg MTOW Industrial Heavy Duty Waterproof Motor,92.0,VZ42 x16.5,100%,108.65,9990.0,47460.0,3632.0,4.75,89.0
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",40%,4.97,238.0,2850.0,1719.0,11.96,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",42%,5.54,265.0,3108.0,1783.0,11.72,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",44%,6.07,291.0,3331.0,1849.0,11.46,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",46%,6.65,318.0,3571.0,1913.0,11.23,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",48%,7.29,349.0,3859.0,1981.0,11.06,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",50%,7.99,382.0,4114.0,2040.0,10.77,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",52%,8.8,421.0,4439.0,2125.0,10.54,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",54%,9.8,468.0,4748.0,2204.0,10.14,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",56%,10.89,520.0,5143.0,2292.0,9.88,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",58%,12.2,582.0,5515.0,2386.0,9.47,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",60%,13.11,626.0,5886.0,2459.0,9.41,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",62%,14.39,687.0,6306.0,2531.0,9.18,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",64%,15.56,742.0,6649.0,2610.0,8.96,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",66%,17.0,810.0,7061.0,2683.0,8.72,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",68%,18.22,868.0,7434.0,2755.0,8.56,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",70%,20.15,960.0,7886.0,2836.0,8.22,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",76%,24.34,1157.0,9074.0,3030.0,7.84,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",82%,29.34,1392.0,10215.0,3223.0,7.34,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",88%,34.75,1646.0,11500.0,3397.0,6.99,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",94%,40.33,1906.0,12603.0,3569.0,6.61,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",100%,46.99,2215.0,14011.0,3747.0,6.33,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",40%,7.55,361.0,3819.0,1984.0,10.57,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",42%,8.39,401.0,4145.0,2055.0,10.33,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",44%,9.14,437.0,4433.0,2141.0,10.15,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",46%,11.09,530.0,5135.0,2289.0,9.68,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",48%,12.95,618.0,5719.0,2416.0,9.25,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",50%,14.35,685.0,6157.0,2503.0,8.99,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",52%,15.63,746.0,6592.0,2589.0,8.84,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",54%,17.19,820.0,7019.0,2673.0,8.56,
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,48.0,"T-MOTOR G30*10.5"" CF",56%,18.84,898.0,7493.0,2755.0,8.34,
