MOTOR,Company,Max Thrust,Recommended ESC,Recommended Propeller,LINK - Motor ,LINK - ESC,LINK - Propeller
EMAX Hawk 8 inch 5.8G 2.5W ELRS ECOII2812 BNF FPV Racing Drone,Emax,,,8 inch,https://emaxmodel.com/products/emax-hawk-8-inch-5-8g-2-5w-elrs-bnf-version-drone,,
EMAX Hawk 7 inch 5.8G 2.5W ELRS ECOII2807 BNF FPV Racing drone,Emax,,,,https://emaxmodel.com/products/emax-hawk-7-inch-5-8g-2-5w-elrs-bnf-version-drone,,
Emax Cinehawk Mini 2.5Inch FPV Racing Drone with 2.4G ELRS DJI O3,Emax,,,,https://emaxmodel.com/products/emax-cinehawk-mini-elrs-dji-receiver-2-5inch-fpv-drone,,
EMAX Pro Series 2812 Brushless Motor,Emax,,,,https://emaxmodel.com/products/emax-pro-series-2812-brushless-motor,,
EMAX Pro Series 2810 Brushless Motor,Emax,,,,https://emaxmodel.com/products/emax-pro-series-2810-brushless-motor,,
EMAX PRO Series 2808 Brushless Motor,Emax,,,,https://emaxmodel.com/products/emax-pro-series-2808-brushless-motor,,
EMAX ELRS E8 Remote Transmitter for FPV Racing Drone,Emax,,,,https://emaxmodel.com/products/emax-elrs-e8-transmitter-drone-remote-control,,
Emax ECOII 2814 3-6S 730KV 830KV Brushless Motor for RC Drone FPV Racing,Emax,,,,https://emaxmodel.com/products/emax-ecoii-2814-3-6s-730kv-830kv-brushless-motor-for-rc-drone-fpv-racing,,
Emax ECOII 2812 3-6S 930KV 1100KV Brushless Motor for RC Drone FPV Racing,Emax,,,,https://emaxmodel.com/products/copy-of-emax-ecoii-2810-3-6s-950kv-1150kv-brushless-motor-for-rc-drone-fpv-racing,,
Emax ECOII 2810 3-6S 950KV 1150KV Brushless Motor for RC Drone FPV Racing,Emax,,,,https://emaxmodel.com/products/emax-ecoii-2810-3-6s-950kv-1150kv-brushless-motor-for-rc-drone-fpv-racing,,
EMAX Tinyhawk III PLUS Freestyle Spare Parts Pack B-3Inch Bottom Plate,Emax,,,,https://emaxmodel.com/products/emax-tinyhawk-iii-plus-freestyle-spare-parts-pack-b-3inch-bottom-plate,,
EMAX Tinyhawk III PLUS Freestyle Spare Parts Pack A -2.5Inch Plate Set,Emax,,,,https://emaxmodel.com/products/tinyhawk-3-plus-housing-screw-pack-component-a-package,,
Emax ELRS Receiver + Type T Antenna,Emax,,,,https://emaxmodel.com/products/emax-elrs-receiver-type-t-antenna,,
